Id,Method,Order,Dump,D0,D1,Ellapsed,MeanErr,StdErr,Lag1Err,Lag2Err
0,opt,2,video_03.pcapng,"[[-7.71238907e-01  1.00277969e-05]
 [ 4.69142852e-09 -3.46190453e-03]]","[[7.71228879e-01 4.12155919e-11]
 [3.35877322e-03 1.03126626e-04]]",2.143606185913086,0.30048568922363456,0.07710317801073836,0.014525647795205225,0.9339827071274234
1,em,2,video_03.pcapng,"[[-0.98871835  0.        ]
 [ 0.         -1.01204636]]","[[0.50639936 0.48231899]
 [0.51501172 0.49703464]]",6.7407281398773184,6.809582009381966e-09,0.5336432957587874,0.9999478917403624,0.999999613758384
2,indi,2,video_03.pcapng,"[[-6.06834657e-03  6.11390645e-09]
 [ 2.39654406e-10 -1.09661880e+00]]","[[1.27416053e-04 5.94092441e-03]
 [7.81844465e-05 1.09654061e+00]]",1.2689859867095947,0.07617253216904027,0.017808487150227342,6.563837863017515e-11,0.9529414107299496
3,opt,3,video_03.pcapng,"[[-5.78436581e-03  4.22338089e-09  3.03802245e-03]
 [ 2.81536795e-07 -1.23750823e+00  1.66662585e-01]
 [ 1.62527227e-04  3.93489866e-01 -1.39134328e+00]]","[[1.26907586e-04 2.48112633e-03 1.38305218e-04]
 [5.49590005e-07 6.19052435e-01 4.51792382e-01]
 [2.02782520e-09 5.77540129e-01 4.20150755e-01]]",2.2274208068847656,0.02987930185772545,0.007060625340915414,0.017557172327391846,0.9498268685283272
4,em,3,video_03.pcapng,"[[-0.00231034  0.          0.        ]
 [ 0.         -2.02066955  2.02066955]
 [ 0.          0.         -2.02066955]]","[[1.88229647e-12 2.31034377e-03 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [4.78653731e-05 2.02062169e+00 0.00000000e+00]]",35.92750310897827,2.1674874495226565e-07,0.4254345989005954,1.001303700923065,0.9999999305530228
5,indi,3,video_03.pcapng,"[[-8.07052387e-03  1.44174013e-06  4.33925247e-03]
 [ 1.17275283e-07 -8.19729614e-01  6.82830031e-04]
 [ 2.08812108e-01  5.99041281e-01 -1.35475489e+00]]","[[1.49296703e-04 3.46568852e-03 1.14845135e-04]
 [0.00000000e+00 8.19046714e-01 0.00000000e+00]
 [0.00000000e+00 5.46901498e-01 0.00000000e+00]]",0.6196942329406738,0.2388399845805985,0.1745761046297108,0.0029737859375124557,0.949009911562956
6,opt,4,video_03.pcapng,"[[-1.25769481e+00  5.05172663e-04  2.66113005e-01  2.61036890e-01]
 [ 4.19953941e-08 -6.73535074e-03  3.32208395e-04  2.18099233e-04]
 [ 9.14589426e-02  2.79379842e-08 -1.26068673e+00  2.05207227e-01]
 [ 9.37161220e-02  5.80401248e-07  1.68091515e-01 -1.28837837e+00]]","[[1.48357220e-01 1.14643542e-06 3.01544750e-01 2.80136623e-01]
 [8.96816912e-05 5.84462235e-07 2.81125912e-03 3.28347584e-03]
 [1.40849819e-01 4.05564230e-09 3.91978759e-01 4.31191947e-01]
 [1.73280537e-01 4.01584830e-12 4.10115815e-01 4.43173803e-01]]",3.3860480785369886,0.07039009057520153,0.09107888863109244,1.004545432450495,1.000556938417435
7,em,4,video_03.pcapng,"[[-2.62879116e-03  0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 0.00000000e+00 -3.03105913e+00  3.03105913e+00  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00 -3.03105913e+00  3.03105913e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.03105913e+00]]","[[9.68108019e-12 2.62879116e-03 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [8.18646303e-05 3.03097726e+00 0.00000000e+00 0.00000000e+00]]",87.34243774414062,1.8450899408329656e-07,0.32893894634456233,1.001504989505362,0.9999999086048054
8,indi,4,video_03.pcapng,"[[-1.35139231e+00  1.77384637e-01  3.98923114e-01  1.36571557e-01]
 [ 1.64174689e-01 -1.33540293e+00  4.12911241e-01  6.35967108e-02]
 [ 9.53060107e-07  3.69796724e-03 -1.01392707e+00  2.61902029e-08]
 [ 1.46965453e-03  1.40672570e-03  3.50451634e-07 -9.12678432e-03]]","[[0.00000000e+00 0.00000000e+00 6.38513000e-01 4.54836043e-19]
 [0.00000000e+00 0.00000000e+00 6.94720286e-01 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 1.01022816e+00 0.00000000e+00]
 [0.00000000e+00 1.76989225e-04 5.90537388e-03 1.67691409e-04]]",0.850006103515625,0.016359370293266173,0.2177796356907758,0.005338893809763964,0.9550369030708082
9,opt,5,video_03.pcapng,"[[-5.83707258e-03  1.08184985e-03  1.60120236e-03  9.74657211e-04
   8.97292061e-04]
 [ 1.38287286e-07 -1.17039652e+00  1.03445325e-01  1.51726563e-01
   1.64625718e-01]
 [ 4.05701229e-04  1.59823657e-01 -1.60398245e+00  1.97607844e-01
   1.98639522e-01]
 [ 3.56896393e-07  9.40301340e-02  8.62650737e-02 -1.38559909e+00
   2.44629790e-01]
 [ 2.70722640e-07  7.49932552e-02  8.61427350e-02  2.52996564e-01
  -1.39665941e+00]]","[[6.91029308e-05 1.26786848e-04 7.00548039e-08 4.72286998e-04
  6.13824274e-04]
 [1.12872872e-06 1.50459719e-01 1.04190323e-01 2.34907483e-01
  2.61040118e-01]
 [2.58769108e-05 2.28459373e-01 1.96238362e-01 3.00618216e-01
  3.22163901e-01]
 [3.88613254e-08 1.97266043e-01 1.37756999e-01 2.96362531e-01
  3.29288126e-01]
 [2.63896853e-08 2.04193229e-01 1.39661424e-01 3.04459355e-01
  3.34212553e-01]]",12.345549821853638,0.08460681138358607,0.036015225950101856,0.4790258981862321,0.9862635497442548
10,indi,5,video_03.pcapng,"[[-1.45772173e+00  1.79345219e-01  1.61060718e-01  1.53738265e-01
   4.87521436e-01]
 [ 6.62359023e-05 -1.15296110e+00  1.21788883e-01  4.83416943e-04
   1.48102084e-07]
 [ 7.11741676e-03  2.15347423e-01 -1.13522549e+00  1.30494704e-02
   4.82967153e-06]
 [ 1.27625887e-01  1.81360754e-01  4.95931582e-01 -1.64530187e+00
   3.71828361e-01]
 [ 5.03590276e-03  1.11579125e-05  2.38605201e-03  1.56003392e-03
  -1.81828016e-02]]","[[ 0.00000000e+00  0.00000000e+00  4.76056096e-01  0.00000000e+00
   0.00000000e+00]
 [ 0.00000000e+00  1.03062245e+00  0.00000000e+00  0.00000000e+00
   0.00000000e+00]
 [ 0.00000000e+00  2.84498062e-01  6.15208300e-01  0.00000000e+00
   0.00000000e+00]
 [ 0.00000000e+00 -7.72632403e-17  4.68555290e-01  0.00000000e+00
   0.00000000e+00]
 [ 5.64006794e-06  0.00000000e+00  9.00387905e-03  0.00000000e+00
   1.80139281e-04]]",1.1102159023284912,0.07599376932482899,0.5667014304098185,0.007910538287624929,0.5192605138111991
11,opt,6,video_03.pcapng,"[[-7.79791755e-03  5.47069466e-04  9.32601971e-04  8.98854604e-04
   1.22311112e-03  2.57244260e-03]
 [ 3.66534806e-06 -1.99964048e+00  1.78562476e-01  1.81463430e-01
   1.95924392e-01  1.35665876e-01]
 [ 3.72912768e-05  2.04586188e-01 -1.91346319e+00  3.39124575e-01
   2.55105023e-01  2.16557140e-01]
 [ 1.18240208e-04  2.99832748e-01  2.68672997e-01 -2.07268898e+00
   2.61215921e-01  2.22481932e-01]
 [ 8.37099127e-05  2.86787439e-01  2.43044026e-01  2.44463765e-01
  -2.13359326e+00  2.65076497e-01]
 [ 7.67197074e-04  2.57072202e-01  2.60449502e-01  2.53448432e-01
   2.39908020e-01 -1.78553944e+00]]","[[3.77628122e-05 9.12753583e-04 2.01551687e-04 1.90058543e-04
  2.81459454e-04 2.51723037e-07]
 [4.39578313e-09 4.19522547e-01 2.28367712e-01 2.59834187e-01
  3.06761026e-01 9.35351603e-02]
 [9.89058542e-09 2.98296180e-01 1.53724557e-01 1.69609280e-01
  2.02222232e-01 7.42007091e-02]
 [8.85318264e-07 3.38065504e-01 1.74061918e-01 1.94301947e-01
  2.29227298e-01 8.47095943e-02]
 [1.36786519e-07 3.61205928e-01 1.86046353e-01 2.10378303e-01
  2.50172804e-01 8.63342981e-02]
 [4.48315285e-07 2.49334627e-01 1.43076747e-01 1.40160655e-01
  1.62886126e-01 7.84354860e-02]]",15.63572597503662,0.030813374411438964,0.139787652900909,0.764260802024305,0.9974159456783608
